항목ID,항목코드,항목코드명,,,
B_04_001#5,10,잡지,,,
B_04_001#5,99,없음,,,
B_04_001#6,1,지상파채널,,,
B_04_001#6,2,종합편성채널,,,
B_04_001#6,3,케이블채널,,,
B_04_001#6,4,VOD,,,
B_04_001#6,5,라디오,,,
B_04_001#6,6,DMB,,,
B_04_001#6,7,PC,,,
B_04_001#6,8,모바일기기,,,
B_04_001#6,9,신문,,,
B_04_001#6,10,잡지,,,
B_04_001#6,99,없음,,,
B_04_001#7,1,지상파채널,,,
B_04_001#7,2,종합편성채널,,,
B_04_001#7,3,케이블채널,,,
B_04_001#7,4,VOD,,,
B_04_001#7,5,라디오,,,
B_04_001#7,6,DMB,,,
B_04_001#7,7,PC,,,
B_04_001#7,8,모바일기기,,,
B_04_001#7,9,신문,,,
B_04_001#7,10,잡지,,,
B_04_001#7,99,없음,,,
B_04_001#8,1,지상파채널,,,
B_04_001#8,2,종합편성채널,,,
B_04_001#8,3,케이블채널,,,
B_04_001#8,4,VOD,,,
B_04_001#8,5,라디오,,,
B_04_001#8,6,DMB,,,
B_04_001#8,7,PC,,,
B_04_001#8,8,모바일기기,,,
B_04_001#8,9,신문,,,
B_04_001#8,10,잡지,,,
B_04_001#8,99,없음,,,
B_04_001#9,1,지상파채널,,,
B_04_001#9,2,종합편성채널,,,
B_04_001#9,3,케이블채널,,,
B_04_001#9,4,VOD,,,
B_04_001#9,5,라디오,,,
B_04_001#9,6,DMB,,,
B_04_001#9,7,PC,,,
B_04_001#9,8,모바일기기,,,
B_04_001#9,9,신문,,,
B_04_001#9,10,잡지,,,
B_04_001#9,99,없음,,,
B_04_001#10,1,지상파채널,,,
B_04_001#10,2,종합편성채널,,,
B_04_001#10,3,케이블채널,,,
B_04_001#10,4,VOD,,,
B_04_001#10,5,라디오,,,
B_04_001#10,6,DMB,,,
B_04_001#10,7,PC,,,
B_04_001#10,8,모바일기기,,,
B_04_001#10,9,신문,,,
B_04_001#10,10,잡지,,,
B_04_001#10,99,없음,,,
B_04_002#1,1,지상파채널,,,
B_04_002#1,2,종합편성채널,,,
B_04_002#1,3,케이블채널,,,
B_04_002#1,4,VOD,,,
B_04_002#1,5,라디오,,,
B_04_002#1,6,DMB,,,
B_04_002#1,7,PC,,,
B_04_002#1,8,모바일기기,,,
B_04_002#1,9,신문,,,
B_04_002#1,10,잡지,,,
B_04_002#1,99,없음,,,
B_04_002#2,1,지상파채널,,,
B_04_002#2,2,종합편성채널,,,
B_04_002#2,3,케이블채널,,,
B_04_002#2,4,VOD,,,
B_04_002#2,5,라디오,,,
B_04_002#2,6,DMB,,,
B_04_002#2,7,PC,,,
B_04_002#2,8,모바일기기,,,
B_04_002#2,9,신문,,,
B_04_002#2,10,잡지,,,
B_04_002#2,99,없음,,,
B_04_002#3,1,지상파채널,,,
B_04_002#3,2,종합편성채널,,,
B_04_002#3,3,케이블채널,,,
B_04_002#3,4,VOD,,,
B_04_002#3,5,라디오,,,
B_04_002#3,6,DMB,,,
B_04_002#3,7,PC,,,
B_04_002#3,8,모바일기기,,,
B_04_002#3,9,신문,,,
B_04_002#3,10,잡지,,,
B_04_002#3,99,없음,,,
B_04_002#4,1,지상파채널,,,
B_04_002#4,2,종합편성채널,,,
B_04_002#4,3,케이블채널,,,
B_04_002#4,4,VOD,,,
B_04_002#4,5,라디오,,,
B_04_002#4,6,DMB,,,
B_04_002#4,7,PC,,,
B_04_002#4,8,모바일기기,,,
B_04_002#4,9,신문,,,
B_04_002#4,10,잡지,,,
B_04_002#4,99,없음,,,
B_04_002#5,1,지상파채널,,,
B_04_002#5,2,종합편성채널,,,
B_04_002#5,3,케이블채널,,,
B_04_002#5,4,VOD,,,
B_04_002#5,5,라디오,,,
B_04_002#5,6,DMB,,,
B_04_002#5,7,PC,,,
B_04_002#5,8,모바일기기,,,
B_04_002#5,9,신문,,,
B_04_002#5,10,잡지,,,
B_04_002#5,99,없음,,,
B_04_002#6,1,지상파채널,,,
B_04_002#6,2,종합편성채널,,,
B_04_002#6,3,케이블채널,,,
B_04_002#6,4,VOD,,,
B_04_002#6,5,라디오,,,
B_04_002#6,6,DMB,,,
B_04_002#6,7,PC,,,
B_04_002#6,8,모바일기기,,,
B_04_002#6,9,신문,,,
B_04_002#6,10,잡지,,,
B_04_002#6,99,없음,,,
B_04_002#7,1,지상파채널,,,
B_04_002#7,2,종합편성채널,,,
B_04_002#7,3,케이블채널,,,
B_04_002#7,4,VOD,,,
B_04_002#7,5,라디오,,,
B_04_002#7,6,DMB,,,
B_04_002#7,7,PC,,,
B_04_002#7,8,모바일기기,,,
B_04_002#7,9,신문,,,
B_04_002#7,10,잡지,,,
B_04_002#7,99,없음,,,
B_04_002#8,1,지상파채널,,,
B_04_002#8,2,종합편성채널,,,
B_04_002#8,3,케이블채널,,,
B_04_002#8,4,VOD,,,
B_04_002#8,5,라디오,,,
B_04_002#8,6,DMB,,,
B_04_002#8,7,PC,,,
B_04_002#8,8,모바일기기,,,
B_04_002#8,9,신문,,,
B_04_002#8,10,잡지,,,
B_04_002#8,99,없음,,,
B_04_002#9,1,지상파채널,,,
B_04_002#9,2,종합편성채널,,,
B_04_002#9,3,케이블채널,,,
B_04_002#9,4,VOD,,,
B_04_002#9,5,라디오,,,
B_04_002#9,6,DMB,,,
B_04_002#9,7,PC,,,
B_04_002#9,8,모바일기기,,,
B_04_002#9,9,신문,,,
